Date,Open,High,Low,Close,Volume,Change
2024-01-02,34157,34676,34100,34541,7815352,0.006087615053011808
2024-01-03,34147,34147,33583,33583,8532058,-0.02773515532266002
2024-01-04,33325,33555,33199,33287,9353614,-0.008813983265342551
2024-01-05,33276,33382,33136,33194,7018655,-0.0027938834980623106
2024-01-08,33368,33455,33047,33084,5648786,-0.0033138519009459078
2024-01-09,33516,33569,32870,32962,7913132,-0.0036875831217506594
2024-01-10,32962,33027,32577,32601,4220877,-0.010952005339481818
2024-01-11,32663,32851,32547,32653,5692252,0.0015950430968374452
2024-01-12,32538,32658,32279,32340,8521871,-0.009585642973080621
2024-01-15,32429,32619,32354,32475,6655128,0.004174397031539989
2024-01-16,32284,32419,31993,32033,6312554,-0.013610469591993857
2024-01-17,32161,32191,31234,31248,14501053,-0.024505978209970913
2024-01-18,31337,31500,31173,31393,13666008,0.004640296979006697
2024-01-19,31723,31921,31684,31864,8642930,0.015003344694677123
2024-01-22,32201,32220,31897,31897,7121726,0.0010356515189555715
2024-01-23,32047,32126,31855,32065,4746396,0.005266953004984698
2024-01-24,32088,32088,31675,31940,5744797,-0.003898331514112008
2024-01-25,31960,32028,31780,31979,7742168,0.0012210394489668985
2024-01-26,31826,32359,31718,32038,4772540,0.0018449607554957836
2024-01-29,32144,32624,32065,32415,4499525,0.011767276359323287
2024-01-30,32583,32711,32284,32359,8339972,-0.0017275952491130342
2024-01-31,32116,32287,32111,32201,8913193,-0.004882721962977787
2024-02-01,32161,32806,32149,32755,7375638,0.017204434644886746
2024-02-02,33020,33862,32997,33811,12054746,0.03223935277056933
2024-02-05,33721,33721,32984,33400,11951671,-0.012155807281653885
2024-02-06,33265,33554,33076,33274,9931001,-0.0037724550898203812
2024-02-07,33439,34011,33429,33744,7928901,0.01412514275410226
2024-02-08,33882,34034,33725,33782,6575315,0.0011261261261261701
2024-02-13,34185,34392,34125,34195,6416189,0.01222544550352267
2024-02-14,33668,33857,33554,33730,7525129,-0.013598479309840594
2024-02-15,34083,34100,33658,33683,6447240,-0.001393418321968598
2024-02-16,33953,34053,33773,34020,7390473,0.010005047056378613
2024-02-19,34120,34624,34115,34553,7009421,0.015667254556143373
2024-02-20,34458,34478,33953,34148,6765867,-0.011721124070268818
2024-02-21,34130,34372,33958,34073,7328025,-0.0021963218929366146
2024-02-22,34392,34424,34120,34247,6789450,0.005106682710650734
2024-02-23,34553,34754,34305,34353,7078732,0.003095161619995901
2024-02-26,34148,34229,33801,34078,5389370,-0.008005123278898463
2024-02-27,34090,34172,33749,33786,5461726,-0.00856857796819066
2024-02-28,33872,34305,33786,34200,5925830,0.012253596164091718
2024-02-29,34078,34219,33895,34110,6455119,-0.0026315789473684292
2024-03-04,34468,34781,34410,34601,6341744,0.014394605687481743
2024-03-05,34490,34786,34324,34324,6076461,-0.008005548972572996
2024-03-06,34153,34281,34044,34200,5796061,-0.003612632560307638
2024-03-07,34333,34458,34063,34224,5093730,0.00070175438596487
2024-03-08,34634,34852,34591,34725,7767086,0.014638849929873743
2024-03-11,34524,34658,34392,34434,6379322,-0.008380129589632856
2024-03-12,34543,34805,34372,34730,8544936,0.008596154963117941
2024-03-13,34862,35033,34734,34891,9176414,0.004635761589403931
2024-03-14,34929,35240,34929,35206,10037267,0.009028116133100283
2024-03-15,34920,35000,34543,34543,6312614,-0.018832017269783563
2024-03-18,34653,34773,34468,34764,6268690,0.006397823003213343
2024-03-19,34490,34490,34158,34348,7755794,-0.011966402025083367
2024-03-20,34610,34972,34610,34953,5065615,0.017613834866658795
2024-03-21,35520,35966,35500,35900,10180748,0.02709352559150857
2024-03-22,35895,36086,35649,35795,6306466,-0.0029247910863510196
2024-03-25,35939,36071,35576,35654,4958616,-0.003939097639335087
2024-03-26,35953,36371,35924,36004,6883660,0.009816570370785982
2024-03-27,35818,36123,35786,36024,5724639,0.0005554938340184279
2024-03-28,36009,36191,35914,36004,4985227,-0.0005551854319342242
2024-03-29,36162,36266,35949,36123,5267314,0.003305188312409779
