experiment_id,validation,observed_result
E3,PASS,여덟 항목 통과
E3-M,PASS,전체 결측: 1개 (확인 필요)
E3-D,PASS,중복 날짜: 1개 (확인 필요)
E3-S,PASS,날짜 정렬: 섞임 (확인 필요)
E3-T,PASS,Date 자료형: object (확인 필요); 날짜 정렬: 확인 불가 (확인 불가); 날짜 범위: 확인 불가 (확인 불가)
E3-C,PASS,Date 자료형: object (확인 필요); 날짜 정렬: 확인 불가 (확인 불가); 날짜 범위: 확인 불가 (확인 불가)
E3-N-load,PASS,ValueError: Missing column provided to 'parse_dates': 'Date'
E3-N,PASS,"열 이름: TradeDate, Open, High, Low, Close, Volume, Change (확인 필요); Date 자료형: 열 없음 (확인 불가); 중복 날짜: 확인 불가 (확인 불가); 날짜 정렬: 확인 불가 (확인 불가); 날짜 범위: 확인 불가 (확인 불가)"
E3-R,PASS,행 × 열: 11 × 7 (확인 필요); 날짜 범위: 2024-01-03 ~ 2024-01-17 (확인 필요)
E3-I,PASS,인덱스: Index (확인 필요)
empty-string,PASS,메모리 빈 문자열 isna=False; CSV 빈 칸 결측 수=1
E1-E2,PASS,새 커널 NameError → 앞 셀 실행 → 미리 보기·점검 성공
typo,PASS,prcies 오타는 CSV 읽기 셀 재실행 후에도 NameError
E4,PASS,"새 커널 코드 셀 1·2·3, 오류 0; 작업 위치=notebooks"
E5,PASS,"새 커널 코드 셀 1·2·3, 오류 0; 작업 위치=project-root"
