Date,Open,High,Low,Close,Volume,Change
2024-01-02,34157,34676,34100,34541,7815352,0.006087615053011808
2024-01-03,34147,34147,33583,33583,8532058,-0.02773515532266002
2024-01-04,33325,33555,33199,33287,9353614,-0.008813983265342551
2024-01-05,33276,33382,33136,33194,7018655,-0.0027938834980623106
2024-01-08,33368,33455,33047,33084,5648786,-0.0033138519009459078
2024-01-09,33516,33569,32870,32962,7913132,-0.0036875831217506594
2024-01-10,32962,33027,32577,32601,4220877,-0.010952005339481818
2024-01-11,32663,32851,32547,32653,5692252,0.0015950430968374452
2024-01-12,32538,32658,32279,32340,8521871,-0.009585642973080621
2024-01-15,32429,32619,32354,32475,6655128,0.004174397031539989
2024-01-16,32284,32419,31993,32033,6312554,-0.013610469591993857
2024-01-17,32161,32191,31234,31248,14501053,-0.024505978209970913
