Date,Close,Volume
2024-01-02,79600,17142847
2024-01-03,77000,21753644
2024-01-04,76600,15324439
2024-01-05,76600,11304316
2024-01-08,76500,11088724
2024-01-09,74700,26019249
2024-01-10,73600,20259529
2024-01-11,73200,57691266
2024-01-12,73100,13038939
2024-01-15,73900,13212339
2024-01-16,72600,14760415
2024-01-17,71000,22683660
2024-01-18,71700,17853397
2024-01-19,74700,23363427
2024-01-22,75100,19673375
2024-01-23,75200,14786224
2024-01-24,74000,12860661
2024-01-25,74100,11737747
2024-01-26,73400,11160062
2024-01-29,74400,13976521
2024-01-30,74300,12244418
2024-01-31,72700,15703560
2024-02-01,73600,19881033
2024-02-02,75200,14955881
2024-02-05,74300,19026021
2024-02-06,74400,14559254
2024-02-07,75000,16566445
2024-02-08,74100,20810708
2024-02-13,75200,21966745
2024-02-14,74000,12434945
2024-02-15,73000,14120600
2024-02-16,72800,13444781
2024-02-19,73800,12726404
2024-02-20,73300,14681477
2024-02-21,73000,11503495
2024-02-22,73100,15208934
2024-02-23,72900,16225166
2024-02-26,72800,14669352
2024-02-27,72900,13201981
2024-02-28,73200,11795859
2024-02-29,73400,21176403
2024-03-04,74900,23210474
2024-03-05,73700,19505125
2024-03-06,72900,21547905
2024-03-07,72200,14516963
2024-03-08,73300,19271349
2024-03-11,72400,9740504
2024-03-12,73300,13011654
2024-03-13,74100,15243134
2024-03-14,74300,22545539
2024-03-15,72300,22580555
2024-03-18,72800,11520348
2024-03-19,72800,15376066
2024-03-20,76900,50106297
2024-03-21,79300,44569799
2024-03-22,78900,26724761
2024-03-25,78200,18703996
2024-03-26,79900,30551494
2024-03-27,79800,17424595
2024-03-28,80800,25084812
2024-03-29,82400,27126366
2024-04-01,82000,20116513
2024-04-02,85000,37077944
2024-04-03,84100,30493347
2024-04-04,85300,25248934
2024-04-05,84500,18883752
2024-04-08,84500,18953232
2024-04-09,83600,23725956
2024-04-11,84100,25538009
2024-04-12,83700,17061770
2024-04-15,82200,26663772
2024-04-16,80000,31949845
2024-04-17,78900,22611631
2024-04-18,79600,21370190
2024-04-19,77600,31317563
2024-04-22,76100,30469477
2024-04-23,75500,18717699
2024-04-24,78600,22166150
2024-04-25,76300,15549134
2024-04-26,76700,12755629
2024-04-29,76700,14664474
2024-04-30,77500,19007007
2024-05-02,78000,18900640
2024-05-03,77600,13151889
2024-05-07,81300,26238868
2024-05-08,81300,13089576
2024-05-09,79700,18759935
2024-05-10,79200,16976124
2024-05-13,78400,18652344
2024-05-14,78300,11763992
2024-05-16,78200,20989778
2024-05-17,77400,15918201
2024-05-20,78900,19456783
2024-05-21,78400,13690583
2024-05-22,77700,19521506
2024-05-23,78300,18728087
2024-05-24,75900,27891278
2024-05-27,77200,43825202
2024-05-28,77600,18539072
2024-05-29,75200,30244875
2024-05-30,73500,28551273
2024-05-31,73500,26198776
2024-06-03,75700,15706268
2024-06-04,75300,14098053
2024-06-05,77400,23177968
2024-06-07,77300,21189349
2024-06-10,75700,14598755
2024-06-11,75200,16971175
2024-06-12,76500,19246725
2024-06-13,78600,33763804
2024-06-14,79600,22926612
2024-06-17,78100,16123051
2024-06-18,79800,18207598
2024-06-19,81200,24168863
2024-06-20,81600,20288913
2024-06-21,80000,17907523
2024-06-24,80600,15454227
2024-06-25,80800,19088458
2024-06-26,81300,17783242
2024-06-27,81600,11739720
2024-06-28,81500,9455929
2024-07-01,81800,11317202
2024-07-02,81800,14471904
2024-07-03,81800,11440328
2024-07-04,84600,43857229
2024-07-05,87100,45791193
2024-07-08,87400,24035809
2024-07-09,87800,21336201
2024-07-10,87800,17813847
2024-07-11,87600,24677608
2024-07-12,84400,26344386
2024-07-15,86700,25193080
2024-07-16,87700,16166688
2024-07-17,86700,18186490
2024-07-18,86900,24721790
2024-07-19,84400,18569122
2024-07-22,83000,18987560
2024-07-23,83900,15766389
2024-07-24,82000,16939083
2024-07-25,80400,20323811
2024-07-26,80900,14508334
2024-07-29,81200,12797136
2024-07-30,81000,13169636
2024-07-31,83900,20744323
2024-08-01,83100,20900338
2024-08-02,79600,25800275
2024-08-05,71400,54608790
2024-08-06,72500,47295226
2024-08-07,74700,32710428
2024-08-08,73400,28414729
2024-08-09,74700,16388222
2024-08-12,75500,9839259
2024-08-13,76100,10716261
2024-08-14,77200,13246168
2024-08-16,80200,22061478
2024-08-19,78300,14146565
2024-08-20,78900,10683836
2024-08-21,78300,7805598
2024-08-22,78300,8149101
2024-08-23,77700,9420306
2024-08-26,76100,15655938
2024-08-27,75800,11130145
2024-08-28,76400,9794514
2024-08-29,74000,16884479
2024-08-30,74300,16358520
2024-09-02,74400,12641376
2024-09-03,72500,16314599
2024-09-04,70000,27366563
2024-09-05,69000,25686769
2024-09-06,68900,19022299
2024-09-09,67500,23263298
2024-09-10,66200,30651376
2024-09-11,64900,35809707
2024-09-12,66300,35884106
2024-09-13,64400,25045135
2024-09-19,63100,49402713
2024-09-20,63000,32746056
2024-09-23,62600,28542376
2024-09-24,63200,26957500
2024-09-25,62200,28652438
2024-09-26,64700,37566015
2024-09-27,64200,28433030
2024-09-30,61500,32694163
2024-10-02,61300,28473536
2024-10-04,60600,24247578
2024-10-07,61000,35066533
2024-10-08,60300,27411786
2024-10-10,58900,45262214
2024-10-11,59300,29623969
2024-10-14,60800,20886249
2024-10-15,61000,22715239
2024-10-16,59500,23303268
2024-10-17,59700,23372873
2024-10-18,59200,14420260
2024-10-21,59000,18514905
2024-10-22,57700,27582527
2024-10-23,59100,27300780
2024-10-24,56600,31499922
2024-10-25,55900,25829315
2024-10-28,58100,27775009
2024-10-29,59600,28369314
2024-10-30,59100,19838511
2024-10-31,59200,35809196
2024-11-01,58300,19083180
2024-11-04,58700,15586947
2024-11-05,57600,17484474
2024-11-06,57300,22092218
2024-11-07,57500,17043102
2024-11-08,57000,13877396
2024-11-11,55000,29811326
2024-11-12,53000,37962881
2024-11-13,50600,52527995
2024-11-14,49900,48510715
